,prefix_0,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,word
0,10.926098385716742,77.25543401419702,29.19029518530267,-2.8083586467917003,-28.318792825249535,-120.67123333940121,-139.78128277304677,-147.94748232838145,-93.8608424742046,-107.04054330017595,-97.05662116475779,-96.41883558350496,1
1,10.926098385716742,77.25543401419702,29.19029518530267,-2.8083586467917003,-28.318792825249535,-120.67123333940121,-139.78128277304677,-147.94748232838145,-93.8608424742046,-107.04054330017595,-97.05662116475779,-96.41883558350496,1
2,10.926098385716742,77.25543401419702,29.19029518530267,-2.8083586467917003,-28.318792825249535,-120.67123333940121,-139.78128277304677,-147.94748232838145,-93.8608424742046,-107.04054330017595,-97.05662116475779,-96.41883558350496,1
3,-77.38686648979501,23.865492241246777,-162.65516600091684,-172.52945979473503,-73.96749252158385,33.7224864410267,-188.30166623433223,-21.403097936689797,-11.849547093460068,16.60334468223718,-56.77484384557393,-174.45190494530897,1
4,-44.36662738083027,-111.26116744813025,-26.035281209378685,-141.13034468278767,-202.87321235482074,-38.84647689744706,-42.43822181344958,-98.24315572463854,-70.29293484498756,148.7007526845009,-0.785832300881087,32.70270215243526,1
5,-82.70918761985945,62.64159762871191,49.113725848010766,64.93459563846719,-63.12946224920951,10.580436922820637,-71.47224137820858,-59.095920279721916,-58.56745825675993,-82.57978786317587,-17.91745636997857,-46.197899280798325,1
6,-61.14399149968598,30.87350770500967,66.02984042743094,39.86423753932871,42.09021933369317,-15.997715975813065,41.80423886175807,-200.12675704281892,14.674387615718707,-36.258803558867086,-149.7780787949074,-74.38211643308954,1
7,-41.405700007963205,14.731430871904303,-65.20063213848886,35.224790129649435,-43.11725497333405,24.233407309308838,322.3835400820311,-283.3229843626302,10.742184857333234,-34.460277379150895,27.807327507399645,153.94391669979808,1
8,-13.905556139700908,28.594583265042058,42.420297306243725,26.565347647791604,46.907808897810575,73.67715969588352,-33.58775923503285,10.288709022306442,6.929086089162777,-7.0829347008191865,-111.09214394974171,-29.389108565323074,1
9,-65.29502709597992,-149.2974169005178,-69.46359960387537,-85.49799993806619,-229.10819355851237,-63.819560182423366,-105.49070612710614,94.49428203010307,180.27888444160598,-232.50537865732582,-247.51388859270554,184.01397082104717,1
10,-86.62540703992504,45.234997561024684,-6.651664897783498,32.57507628108752,-115.84404834343562,1.1238970187312436,-4.547181821270565,-69.23653631410696,-85.630845000562,42.533237053039976,29.694414557903848,-62.566718064979185,1
11,-37.32573715397144,88.62616808004407,-105.59343666887679,-120.78723522565843,-118.36478338671884,-153.78157291945706,-28.12536304807599,-147.14298108179676,-90.67518165875589,-53.6285293693949,-68.0714174196955,16.116148706309662,1
12,-62.1635759569737,24.369286815217155,-45.461104954682085,8.387593718159783,-99.56630765256217,-150.05932766301436,78.33206450586701,-153.75109161112476,-103.19120120547889,-33.56385666204232,8.05637335828477,23.531081254022325,1
13,-84.41240643124726,-135.10999670913722,-46.78184931717099,-148.63908844635336,-164.76418914706454,-284.68481548443026,251.56744565685435,-17.372169178448203,-196.68955272677476,72.04826132257229,-20.921879799990847,-34.8621942756496,1
14,-3.6489130435597037,69.63646001243775,63.885918018345386,37.6156806547824,21.12060891532618,0.8866922447093604,-67.2598196909599,-37.551949303093906,-74.407014389499,-84.57293974152068,-81.81233609556234,47.56006075562487,1
15,-36.16817485853572,20.421940667656923,-67.71855026176401,-65.26705437949994,-34.55329237494184,-27.02581363084258,-9.520981978803329,-148.68283063838047,-162.8313140481582,-145.51274672651226,-118.5762487581494,-10.680223228443733,1
16,-54.538248957940354,-89.74136454843892,64.40517871583849,-76.01016974149346,-102.6593187209829,-19.844727159701606,1.5710739031579162,-95.8526730584553,-66.91996804818673,-82.3503840262141,103.29580047359622,35.364248407823716,1
17,-58.15290256120153,23.485092237201968,-68.43600382235206,-140.2436192790719,-180.80452290314048,53.324508103840046,97.77978118411424,-189.72270963806992,-50.39078251435997,-133.12518156586734,-25.850161019027286,87.61362274446603,1
18,-26.698798607637137,-40.01891780531308,-303.035609524929,-99.6816323347989,19.299789476857256,164.14825074587645,-21.351062264436926,-182.2890279867922,-62.72930221227796,-32.493645970671004,-59.38521475802536,-70.80077417767015,1
19,-50.99211076511214,-67.77378951519174,-84.13730102117331,-191.06322916169438,-113.8791953684163,185.90079038367855,70.61605472171142,-313.42184403819095,-25.23497570522046,-55.95096776495619,-89.4795184926037,-38.71028365489558,1
20,-24.12046112232455,-127.22510549375343,-165.46382084082592,-379.2722008828679,275.06159189468406,-55.27458585191157,-92.96734965628946,9.659435597737232,-321.4190016423805,101.97630090351879,-84.10841557848424,65.5058496063949,1
21,-9.614958108708827,-148.98789710677522,-235.63973768589193,-116.36552661763398,45.97877224434559,39.46759147949875,-75.314346685783,-159.20430952793828,31.0508732203104,-235.22985107953338,-182.41200718747234,84.30740656477445,1
22,-27.5089980121788,-109.4315149061201,-312.2662739219811,-211.0834993261554,-3.716220686101774,74.01255132889622,165.7363257010595,48.87721606207467,-20.92532529408113,-89.25277701059528,-177.9145856599069,-71.47092213883654,1
23,38.13028307134254,-17.728042392990673,-177.34041280399623,-105.91138558383852,187.3515886606078,115.35139282624803,64.22459257284446,23.347929010741396,-77.49892264482068,-78.29965594635094,-211.08025383120332,-56.57522991929569,1
24,-79.18748765062749,45.05947454697027,-34.22329329672071,1.9498203731467356,-148.05854927626842,-77.36198980311875,-34.51238513266264,-4.920033052943482,-26.040236836084,-62.41178948885086,-176.57052707903475,-106.82964792511146,1
25,-36.32019547948823,-1.0389382353518415,-8.337881328328177,86.21231065639931,-170.45743516188531,-70.06651574994028,18.5883852898502,-164.83623794994642,-208.1264683161989,-34.7520769902367,30.92109591819184,-19.971186898566195,1
26,-41.86035653871168,-15.474317254267653,-46.03755651791348,-43.562735815927006,-133.61109462510638,-164.76185481498553,-127.4531566643518,-28.230654168359855,20.992899873501578,-20.126175889910314,81.34942971953633,-7.1261116965460065,1
27,-131.02249408270177,-121.40087129647095,28.323357039109027,29.38965788885063,47.48713345003476,-89.32399167691183,-103.20382207637044,-0.9074617681375337,-1.5925380064837653,-29.61143102758267,-52.63684596674436,-52.445142183942835,1
28,-45.39385188079669,-20.798447289635664,29.678182799980902,-44.247056376695596,-17.029465490720252,-78.72587979165444,38.904379068732645,-2.1458420423847357,72.64023412412845,-93.95650236749763,45.32735137223959,51.91901222378963,1
